GEO_ID,TotPop,walkability
1400000US18097350100,385,14.33333333
1400000US18097351200,955,15.33333333
1400000US18097330900,1555,10.5
1400000US18097357000,721,12
1400000US18097390200,2433,8
1400000US18097322000,1016,16.5
1400000US18097357200,693,12.83333333
1400000US18097380300,1058,14.83333333
1400000US18097340600,607,13.33333333
1400000US18097310308,1353,5.666666667
1400000US18097322700,804,11
1400000US18097350600,729,14
1400000US18097355900,648,11.83333333
1400000US18097350400,571,13
1400000US18097360201,1972,12.66666667
1400000US18097361100,951,17.33333333
1400000US18097350300,887,15.33333333
1400000US18097342300,2344,13
1400000US18097381002,928,13.33333333
1400000US18097357000,983,11.66666667
1400000US18097390300,4142,4.166666667
1400000US18097331000,546,14.5
1400000US18097320400,2094,10.66666667
1400000US18097340800,654,13.33333333
1400000US18097321200,850,13.16666667
1400000US18097330600,688,10.66666667
1400000US18097361100,682,11.5
1400000US18097380200,948,6.666666667
1400000US18097320901,1476,11
1400000US18097358100,1586,12.5
1400000US18097340201,2461,14.5
1400000US18097321900,1337,14.66666667
1400000US18097381203,1780,17
1400000US18097352600,214,13.16666667
1400000US18097320400,1114,9
1400000US18097351500,904,15.33333333
1400000US18097355000,468,13.33333333
1400000US18097380403,716,19
1400000US18097340700,2066,12.16666667
1400000US18097330107,1682,8.5
1400000US18097354800,424,12.33333333
1400000US18097342500,1645,17.66666667
1400000US18097353600,602,13.16666667
1400000US18097321800,835,13
1400000US18097380100,13166,6.5
1400000US18097321200,1430,17
1400000US18097360601,986,12.83333333
1400000US18097331000,791,11.5
1400000US18097330600,751,6
1400000US18097355100,761,11.5
1400000US18097340400,1275,10.83333333
1400000US18097361300,842,11.83333333
1400000US18097354700,621,13.16666667
1400000US18097357400,728,13.83333333
1400000US18097357400,1336,9.833333333
1400000US18097357400,1044,13.66666667
1400000US18097357400,1693,11.83333333
1400000US18097357500,1387,11.16666667
1400000US18097357500,1290,13.83333333
1400000US18097357500,952,13.5
1400000US18097357500,558,14.83333333
1400000US18097357600,1558,13.33333333
1400000US18097357600,1172,11.83333333
1400000US18097357600,1951,10.5
1400000US18097610100,2192,3.166666667
1400000US18097331000,996,11.66666667
1400000US18097331000,486,12.5
