GEO_ID,index,income,percentPoverty,owneroccupied,foodstamps,healthinsurance,artcount,mobility,crimes,walkability,TOT_PARK_AREA_SQMILES
1400000US18097355600,28.8,16,30.4,34.3,34.5,2158,10,647,367,14.83333333,0.031101493
1400000US18097355700,28.625,17.5,31.9,41.1,24,1839,39,567,330,14.05555556,0.018878558
1400000US18097355900,19.725,11.4,12.2,45.8,9.5,1946,113,238,242,12.79166667,0.000678306
1400000US18097356200,19.25,11.2,7.4,55,3.4,1950,58,144,194,16.41666667,0.004196182
1400000US18097356400,30.175,16.1,36.3,44.3,24,3933,46,1395,349,16.5,0.134177387
1400000US18097356900,26.5,10.9,25.9,44.1,25.1,1976,92,496,238,14.16666667,0.007442524
1400000US18097357000,24.225,3.1,25.5,52.1,16.2,2063,32,522,255,12.625,0.017201353
1400000US18097357100,24.425,21.4,19.1,45.6,11.6,2127,127,396,236,14.16666667,0.021350643
1400000US18097357200,32.55,18,22.9,56.1,33.2,2110,19,483,369,14.08333333,0.024924153
1400000US18097357300,33.3,13.6,43.7,47.3,28.6,1971,9,852,234,14.75,0.034454448
1400000US18097357400,33.95,7.8,31.9,56,40.1,5340,8,1612,218,12.29166667,0.00081542
1400000US18097357500,29.725,26.8,11.1,67.5,13.5,3829,9,406,42,13.33333333,0
1400000US18097357800,31.725,13.5,20.1,63.4,29.9,1837,18,339,214,15.08333333,0.022003448
1400000US18097357900,25,19.5,10.4,50.3,19.8,3490,68,356,377,14.58333334,0.189699878
1400000US18097358000,38.075,16.7,39.6,62.2,33.8,1174,11,458,165,11.58333333,0.032852004
1400000US18097358100,28.45,13.6,23.2,51.1,25.9,2829,20,641,352,12.16666667,0.059333788
1400000US18097360101,23.95,5.6,30.2,37.1,22.9,2385,3,721,234,11.75,0.005662542
1400000US18097360102,32.925,19.1,27.3,49.9,35.4,2126,7,581,265,12.75,0.057483318
1400000US18097360201,24.65,9.7,23.6,43.7,21.6,3777,15,893,408,10.72222222,0
1400000US18097360202,33.55,19.1,29.3,70.4,15.4,3118,7,915,227,11.16666667,0.042066005
1400000US18097360301,30.1,24.2,15.6,69,11.6,3533,4,548,281,8.833333334,0.012357331
1400000US18097360302,32.8,19.2,47.3,34.6,30.1,3024,3,1413,516,11.58333333,0.012068897
1400000US18097360401,20.5,8.9,27.5,25.3,20.3,6712,0,1732,363,11.33333333,0
1400000US18097360402,45.675,9.7,46.1,83.1,43.8,3345,2,1503,181,12.33333333,0.008349775
1400000US18097360405,28.5,26.7,12.9,61.2,13.2,6525,0,822,277,6.416666667,0.039161057
1400000US18097360501,24.8,15.5,7.6,67.7,8.4,6248,13,460,118,8.166666668,0.009432686
1400000US18097360502,29.625,21.7,12.2,72.7,11.9,4958,21,606,473,13.55555556,0
1400000US18097360601,31.875,22.9,15.4,87.9,1.3,4741,15,729,201,12.875,0
1400000US18097360602,29.45,15.5,19,63.2,20.1,6159,22,1162,408,13.95833334,0.016023538
1400000US18097360700,27,16.9,9.4,78.4,3.3,2044,5,193,144,15.08333334,0.00165276
1400000US18097360800,25.325,28.5,20.1,36.9,15.8,2024,3,401,217,15.91666667,0
1400000US18097360900,33.85,3.8,31.4,68.6,31.6,4870,13,1503,489,12.86666667,0
1400000US18097361000,25.925,13.2,3.6,85.2,1.7,2436,12,88,70,14,0.07557581
1400000US18097361100,26.725,23.4,10.8,61.4,11.3,3451,17,373,160,14.20833333,0.016883212
1400000US18097361200,30.775,25.6,10.7,71.2,15.6,3387,24,364,210,12.77777778,0.00598999
1400000US18097361300,26.025,12.1,7.3,77.8,6.9,2145,9,156,227,12.44444444,0.022873464
1400000US18097370201,26.25,30,13.2,48.7,13.1,3463,8,448,185,8,0
1400000US18097380200,26.75,20.2,22.9,43.4,20.5,3072,6,659,351,12.72222222,0
1400000US18097380402,21.825,21.1,16.3,26.3,23.6,5121,0,829,66,11.5,0
1400000US18097380403,30,24.4,11.5,73.9,10.2,3833,13,424,1,14.29166667,0.023018773
1400000US18097380404,26.375,11.9,12,70.8,10.8,3665,5,436,71,10.61111111,0.071362929
1400000US18097380501,29.8,19.1,25.3,64.2,10.6,2247,2,569,97,7.583333334,0
1400000US18097380502,27.25,41.6,18.2,34.8,14.4,3699,3,581,228,11.66666666,0.015412936
1400000US18097380600,26.9,45.2,7.8,46.9,7.7,5856,5,385,403,12.38888889,0.016240105
1400000US18097380700,25.15,27.5,14.2,48.6,10.3,6262,2,890,254,12.11111111,0
1400000US18097380800,31.35,19.5,15.3,81.5,9.1,2881,3,442,174,11.5,0
1400000US18097380901,33,27.2,6,94.3,4.5,4865,4,291,97,6.388888889,0
1400000US18097380902,27.2,20.6,10.5,76.8,0.9,5621,3,593,544,8.388888889,0.021940764
1400000US18097381002,27.575,14.4,5.6,88.1,2.2,3444,11,192,82,10.83333333,0.006172934
1400000US18097381101,24.65,18.6,4.4,73.6,2,5533,5,243,127,9.583333332,0
1400000US18097381102,28.875,29.4,5.6,74.5,6,6872,5,386,411,9.111111112,0
1400000US18097381203,23.75,19.5,19.4,28.1,28,3051,3,591,116,16,0
1400000US18097381204,16.625,19.6,12.8,20.6,13.5,2779,2,322,196,14.61111111,0
1400000US18097381205,23,18.8,16.1,50.6,6.5,6215,4,933,117,7.25,0.005863961
1400000US18097390102,30.325,29.5,21,54.5,16.3,5883,2,1096,160,9.416666669,0.023161807
1400000US18097390200,25.275,12.2,3.2,77.4,8.3,4798,4,150,125,6.666666667,0.082160627
1400000US18097390300,32.275,25.6,3.3,96.2,4,6295,15,212,90,4.055555556,0.480833208
1400000US18097390405,11.9,10.8,3.3,32,1.5,3684,2,123,250,9.833333334,0
1400000US18097390500,32.275,25.1,29.9,42.8,31.3,2377,11,711,144,13.91666667,0.026344533
1400000US18097390700,25.3,22.5,16.6,43.6,18.5,3114,26,516,256,13.55555556,0.034717663
1400000US18097390900,16.375,5.1,15.3,37.3,7.8,2724,14,417,254,15.38888889,0.049650587
